EmpID,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
RM119,1,0,0,0.0,No
RM136,3,2,0,1.0,No
RM173,8,7,7,2.0,No
RM208,8,1,1,,No
RM221,13,11,3,7.0,No
RM270,15,13,10,11.0,No
RM292,8,0,7,7.0,No
RM299,1,0,0,0.0,No
RM306,9,8,0,8.0,No
RM359,1,0,0,,No
RM360,13,9,1,,No
RM378,2,2,2,2.0,No
RM385,10,9,9,0.0,No
RM443,10,3,9,7.0,No
RM512,3,2,0,2.0,No
RM542,8,7,0,5.0,No
RM570,10,7,0,9.0,No
RM594,9,7,0,5.0,No
RM600,5,2,0,4.0,No
RM622,18,14,4,11.0,No
RM634,5,4,0,3.0,No
RM665,16,8,4,11.0,No
RM681,6,2,0,1.0,No
RM688,11,8,3,9.0,No
RM694,16,7,3,7.0,Yes
RM709,7,7,0,7.0,No
RM753,17,13,15,14.0,Yes
RM762,1,0,0,0.0,Yes
RM774,14,8,7,8.0,No
RM818,11,9,0,9.0,No
RM874,7,7,1,7.0,No
RM883,7,7,7,7.0,No
RM901,11,10,0,7.0,No
RM928,16,14,5,12.0,No
RM943,7,7,1,7.0,No
RM969,15,7,6,13.0,No
RM1012,5,4,0,1.0,No
RM1019,10,4,1,8.0,No
RM1020,3,2,0,2.0,No
RM1103,3,2,1,2.0,No
RM1122,1,0,0,0.0,No
RM1129,3,2,0,2.0,No
RM1146,3,2,1,1.0,No
RM1174,3,2,0,2.0,No
RM1181,4,3,1,3.0,No
RM1183,3,2,1,2.0,No
RM1184,5,4,0,4.0,No
RM1200,3,2,0,2.0,No
RM1221,13,7,6,7.0,No
RM1237,2,2,2,2.0,Yes
RM1279,12,8,5,7.0,No
RM1316,1,0,0,0.0,No
RM1341,10,9,1,7.0,No
RM1348,10,1,0,8.0,No
RM1356,4,2,1,3.0,No
RM1384,5,4,0,2.0,No
RM1440,9,7,3,4.0,No
RM1441,4,2,0,2.0,No
RM1448,15,12,11,11.0,No
RM1454,6,3,0,0.0,No
RM1466,5,2,0,3.0,No
RM1466,5,2,0,2.0,No
RM003,0,0,0,0.0,Yes
RM048,1,0,0,0.0,No
RM060,7,5,0,7.0,No
RM079,5,2,0,2.0,No
RM101,3,2,0,2.0,Yes
RM105,1,0,0,0.0,No
RM116,5,3,1,3.0,No
RM196,8,7,1,7.0,No
RM223,10,8,0,7.0,No
RM227,9,8,5,8.0,No
RM249,3,1,0,,No
RM251,1,0,0,,Yes
RM274,5,4,0,1.0,No
RM276,5,2,0,2.0,No
RM286,17,12,5,7.0,No
RM295,4,2,1,2.0,No
RM341,6,2,0,4.0,No
RM354,7,7,6,7.0,No
RM365,5,4,0,3.0,No
RM387,18,7,12,17.0,No
RM390,1,0,0,1.0,No
RM399,13,11,10,7.0,No
RM465,6,5,1,2.0,No
RM468,9,5,7,7.0,No
RM473,6,5,4,3.0,No
RM487,3,0,1,0.0,No
RM507,10,7,7,8.0,No
RM523,1,0,0,0.0,No
RM578,5,3,4,3.0,No
RM629,1,0,0,0.0,No
RM649,5,4,0,0.0,No
RM653,10,0,0,9.0,No
RM696,14,1,11,7.0,Yes
RM745,1,0,0,0.0,Yes
RM768,4,3,0,1.0,No
RM796,1,0,0,0.0,No
RM833,6,2,1,3.0,No
RM856,14,8,3,11.0,No
RM990,6,4,1,3.0,No
RM1002,3,2,0,2.0,No
RM1023,6,5,1,3.0,No
RM1090,10,8,3,7.0,No
RM1159,4,3,0,2.0,No
RM1164,8,4,7,7.0,No
RM1212,6,3,1,3.0,No
RM1277,5,2,0,3.0,No
RM1281,10,0,4,7.0,No
RM1292,10,3,0,8.0,Yes
RM1345,5,3,0,4.0,No
RM1433,16,11,6,8.0,No
RM009,9,7,1,,No
RM020,3,2,1,2.0,No
RM062,10,3,9,9.0,No
RM084,13,11,1,9.0,No
RM143,3,2,2,,No
RM169,8,3,0,7.0,No
RM180,2,2,2,1.0,No
RM199,1,0,0,0.0,No
RM200,7,7,1,7.0,No
RM205,1,0,0,0.0,Yes
RM224,16,10,5,13.0,No
RM262,8,7,7,5.0,No
RM278,8,0,7,7.0,No
RM288,2,2,1,2.0,No
RM308,10,8,0,1.0,No
RM342,11,10,2,9.0,No
RM417,1,0,0,0.0,No
RM472,1,0,0,0.0,No
RM491,0,0,0,0.0,No
RM519,7,7,0,5.0,No
RM530,9,7,1,8.0,No
RM543,1,0,0,0.0,No
RM560,1,0,0,1.0,No
RM579,15,7,4,12.0,No
RM606,4,3,1,2.0,No
RM643,2,2,1,2.0,No
RM682,15,12,5,11.0,No
RM704,5,3,1,3.0,No
RM723,2,1,0,2.0,No
RM748,1,0,0,0.0,No
RM766,2,2,2,2.0,No
RM785,19,9,1,9.0,No
RM808,8,7,2,7.0,No
RM812,1,0,0,0.0,No
RM827,7,6,5,0.0,No
RM964,7,7,1,7.0,No
RM983,4,2,0,3.0,No
RM1108,6,3,1,2.0,No
RM1113,5,2,1,4.0,Yes
RM1120,9,8,7,7.0,No
RM1121,3,2,1,2.0,No
RM1162,5,4,0,2.0,No
RM1188,13,11,2,9.0,No
RM1194,4,3,3,3.0,No
RM1203,0,0,0,0.0,No
RM1257,6,1,0,5.0,No
RM1262,1,0,1,0.0,No
RM1273,5,4,0,4.0,No
RM1290,11,10,3,8.0,No
RM1309,4,2,0,3.0,No
RM1374,20,11,0,7.0,No
RM1377,5,2,0,3.0,No
RM1392,1,0,0,0.0,No
RM1401,6,2,1,2.0,No
RM1417,15,13,5,8.0,No
RM1419,8,3,7,7.0,No
RM1431,18,16,1,11.0,No
RM1452,10,7,1,9.0,No
RM034,1,0,0,0.0,Yes
RM138,15,11,5,9.0,No
RM241,3,2,1,2.0,No
RM252,19,6,11,,No
RM305,18,10,3,7.0,No
RM315,21,9,11,10.0,No
RM327,21,9,13,3.0,No
RM328,1,0,0,0.0,Yes
RM401,21,8,1,6.0,No
RM450,8,3,0,7.0,No
RM527,20,7,11,10.0,No
RM552,8,3,3,6.0,No
RM655,5,4,0,4.0,No
RM670,2,2,2,2.0,Yes
RM706,8,7,0,7.0,No
RM739,21,6,11,8.0,No
RM754,21,6,2,8.0,No
RM814,18,7,11,5.0,Yes
RM817,5,4,0,3.0,No
RM938,19,9,15,2.0,No
RM941,5,2,0,3.0,Yes
RM950,8,7,1,7.0,No
RM987,5,4,1,4.0,No
RM993,6,4,0,5.0,No
RM1033,1,0,0,0.0,Yes
RM1080,2,0,2,2.0,No
RM1125,7,6,7,6.0,No
RM1149,7,7,7,7.0,No
RM1156,10,8,0,7.0,No
RM1160,9,2,3,8.0,No
RM1176,5,4,1,0.0,No
RM1241,9,8,5,8.0,No
RM1285,4,3,2,2.0,No
RM1293,2,1,2,2.0,No
RM1336,2,2,2,2.0,No
RM1367,3,2,1,2.0,No
RM1373,10,0,7,9.0,No
RM1404,20,8,11,10.0,No
RM1430,7,7,1,7.0,No
RM1438,6,0,1,3.0,No
RM1463,20,9,9,6.0,No
RM1467,7,7,1,7.0,No
RM1463,20,9,9,6.0,No
RM1467,7,7,1,1.0,No
RM091,22,3,11,11.0,No
RM151,20,7,2,13.0,No
RM159,12,11,2,11.0,No
RM187,20,8,9,9.0,No
RM204,7,2,3,7.0,No
RM209,3,2,0,,No
RM244,9,8,4,7.0,No
RM258,21,7,3,,No
RM336,4,3,0,2.0,No
RM362,7,7,1,,No
RM369,6,4,1,0.0,Yes
RM388,5,4,1,3.0,No
RM392,1,0,0,0.0,No
RM418,20,15,1,12.0,No
RM449,20,6,5,13.0,No
RM459,1,0,0,1.0,No
RM534,18,13,1,12.0,No
RM554,4,2,2,3.0,No
RM583,8,7,3,7.0,No
RM602,1,0,0,0.0,No
RM685,1,0,0,0.0,No
RM692,1,1,0,0.0,No
RM707,1,0,0,0.0,Yes
RM769,7,7,7,5.0,No
RM786,11,10,11,1.0,No
RM815,20,7,4,9.0,No
RM838,18,7,2,13.0,No
RM846,1,1,0,0.0,No
RM867,0,0,0,0.0,No
RM885,5,1,1,3.0,No
RM947,5,4,1,0.0,Yes
RM958,4,2,0,0.0,No
RM960,9,8,8,8.0,No
RM968,4,2,0,3.0,No
RM979,12,11,11,8.0,No
RM1030,8,7,0,7.0,No
RM1041,9,8,4,8.0,No
RM1046,3,1,1,2.0,No
RM1084,5,4,1,0.0,Yes
RM1095,8,4,7,1.0,No
RM1097,21,7,7,7.0,No
RM1099,2,2,2,2.0,No
RM1133,5,4,1,2.0,No
RM1157,18,15,14,12.0,No
RM1165,4,2,3,3.0,No
RM1172,4,2,0,3.0,Yes
RM1230,1,0,0,0.0,No
RM1243,21,8,12,8.0,No
RM1287,4,3,0,2.0,No
RM1300,5,3,0,3.0,No
RM1305,7,4,7,7.0,No
RM1349,19,7,11,16.0,No
RM1410,10,9,9,4.0,No
RM1411,11,8,5,10.0,No
RM1428,1,0,0,0.0,No
RM1456,2,2,2,2.0,No
RM1458,5,3,0,2.0,No
RM001,6,4,0,5.0,Yes
RM046,22,15,15,8.0,Yes
RM134,9,7,0,7.0,No
RM148,7,6,7,7.0,No
RM149,5,0,1,4.0,No
RM167,9,8,1,8.0,No
RM183,4,3,0,2.0,Yes
RM216,1,0,0,0.0,No
RM243,1,0,0,0.0,No
RM301,22,10,0,4.0,No
RM347,5,4,1,2.0,No
RM367,8,7,7,7.0,Yes
RM404,10,7,0,,No
RM447,14,3,1,10.0,No
RM460,8,7,0,7.0,No
RM467,18,16,11,8.0,No
RM536,21,6,12,6.0,No
RM539,22,7,2,10.0,No
RM668,7,7,1,0.0,Yes
RM687,18,13,2,17.0,No
RM717,18,16,0,11.0,No
RM738,2,2,2,1.0,No
RM747,21,16,5,10.0,No
RM784,10,6,0,8.0,No
RM831,1,0,0,0.0,No
RM865,1,0,0,0.0,Yes
RM952,19,2,11,9.0,No
RM961,9,3,1,7.0,No
RM989,6,2,3,3.0,No
RM1029,4,2,0,3.0,No
RM1197,2,0,0,2.0,No
RM1219,10,8,8,7.0,No
RM1229,3,2,1,2.0,No
RM1267,5,3,0,4.0,No
RM1295,3,2,1,2.0,No
RM1296,22,14,13,5.0,No
RM1357,5,4,1,4.0,No
RM1421,5,3,1,0.0,No
RM1446,20,7,0,10.0,No
RM1449,5,4,0,4.0,No
RM028,9,7,4,,No
RM198,5,3,0,2.0,No
RM232,22,17,11,15.0,No
RM254,3,2,0,,No
RM257,9,6,7,,No
RM282,20,16,11,6.0,No
RM296,20,4,4,8.0,No
RM349,1,0,0,0.0,No
RM351,3,2,1,0.0,No
RM357,1,0,0,0.0,No
RM389,5,2,1,2.0,No
RM410,5,4,0,2.0,No
RM414,6,5,0,4.0,No
RM442,2,2,2,0.0,No
RM452,10,9,5,8.0,No
RM489,10,2,2,2.0,No
RM548,2,2,2,2.0,Yes
RM585,24,7,14,9.0,No
RM598,4,3,0,2.0,No
RM605,9,8,7,8.0,No
RM633,2,1,2,2.0,No
RM644,5,3,1,3.0,No
RM673,5,4,0,3.0,No
RM742,1,0,0,0.0,No
RM800,22,6,13,7.0,No
RM825,1,0,0,0.0,No
RM839,21,9,13,14.0,Yes
RM840,6,4,1,5.0,No
RM879,4,3,0,3.0,No
RM888,1,0,0,0.0,No
RM926,1,0,0,0.0,No
RM955,20,8,2,10.0,No
RM1000,20,7,0,9.0,No
RM1051,12,9,5,8.0,No
RM1089,1,0,0,0.0,No
RM1094,20,8,13,9.0,No
RM1130,1,0,0,1.0,No
RM1264,5,3,0,4.0,No
RM1288,0,0,0,0.0,No
RM1321,6,3,3,3.0,No
RM1326,0,0,0,0.0,No
RM1358,13,7,5,7.0,No
RM1379,0,0,0,0.0,No
RM1405,20,9,3,7.0,No
RM1420,4,3,1,2.0,No
RM1444,22,6,4,14.0,No
RM036,5,3,1,4.0,No
RM120,25,12,4,12.0,No
RM131,3,2,1,2.0,No
RM194,5,4,2,2.0,No
RM236,17,13,1,9.0,No
RM316,8,7,1,7.0,No
RM331,9,7,0,0.0,No
RM334,1,0,0,0.0,No
RM391,25,10,3,9.0,No
RM396,3,2,1,2.0,No
RM397,5,2,0,2.0,No
RM490,1,0,0,0.0,No
RM492,8,7,4,7.0,No
RM549,2,2,2,2.0,No
RM610,4,1,1,0.0,No
RM651,5,2,2,2.0,No
RM662,1,0,0,0.0,No
RM776,1,0,0,0.0,No
RM813,8,7,0,1.0,No
RM850,4,3,1,3.0,Yes
RM899,8,7,0,7.0,No
RM927,21,7,15,17.0,No
RM996,20,7,1,8.0,No
RM1134,6,4,0,2.0,No
RM1186,14,10,6,11.0,No
RM1217,10,9,8,8.0,No
RM1263,1,0,0,0.0,Yes
RM1270,9,7,1,8.0,No
RM1294,3,2,1,2.0,No
RM1317,7,7,7,7.0,No
RM1331,16,12,6,14.0,No
RM1400,10,9,0,9.0,No
RM029,22,6,5,,No
RM032,4,2,1,3.0,No
RM053,4,3,1,3.0,No
RM100,3,2,1,2.0,No
RM287,1,0,0,0.0,Yes
RM494,2,2,0,2.0,No
RM498,2,2,0,1.0,No
RM544,5,2,1,4.0,No
RM618,5,2,2,3.0,No
RM632,3,2,0,2.0,No
RM659,8,7,7,1.0,No
RM751,12,11,11,11.0,No
RM790,20,6,3,6.0,Yes
RM858,6,4,0,2.0,Yes
RM863,0,0,0,0.0,No
RM876,20,11,13,17.0,No
RM892,10,5,7,7.0,No
RM908,22,9,3,10.0,No
RM923,25,9,14,13.0,No
RM929,10,7,0,5.0,Yes
RM954,3,2,1,2.0,Yes
RM1043,5,2,0,3.0,No
RM1047,5,2,1,3.0,No
RM1052,1,0,0,0.0,No
RM1063,2,2,2,2.0,No
RM1079,20,6,14,17.0,No
RM1141,22,7,1,10.0,No
RM1166,10,7,0,2.0,No
RM1201,2,2,2,2.0,No
RM1215,8,7,6,7.0,No
RM1280,5,3,2,3.0,Yes
RM1353,2,0,2,2.0,No
RM1436,4,3,1,2.0,No
RM068,1,0,0,0.0,No
RM078,0,0,0,,No
RM142,6,5,0,,No
RM154,17,9,0,15.0,No
RM175,5,4,0,3.0,No
RM195,20,8,11,8.0,No
RM219,19,7,12,8.0,No
RM245,24,0,1,7.0,No
RM250,3,2,0,,No
RM269,20,7,4,10.0,No
RM312,24,9,9,11.0,No
RM335,10,9,9,8.0,No
RM408,2,2,0,,No
RM453,8,7,3,7.0,No
RM505,1,1,0,0.0,Yes
RM565,8,7,3,1.0,No
RM604,1,0,0,0.0,No
RM626,5,4,0,2.0,No
RM697,9,7,0,8.0,No
RM714,5,3,0,2.0,No
RM719,9,8,0,8.0,No
RM756,9,3,1,1.0,No
RM760,6,3,0,4.0,No
RM806,15,10,4,12.0,No
RM855,3,2,0,2.0,No
RM914,24,10,1,11.0,Yes
RM937,0,0,0,0.0,No
RM1035,7,7,0,7.0,No
RM1038,3,1,1,2.0,No
RM1093,5,4,0,3.0,No
RM1100,10,8,7,7.0,No
RM1143,10,7,1,4.0,No
RM1144,10,7,4,5.0,No
RM1161,10,7,3,9.0,No
RM1222,23,15,14,4.0,No
RM1226,21,6,8,6.0,No
RM1244,5,0,0,3.0,No
RM1315,8,7,5,7.0,No
RM1347,9,8,3,8.0,No
RM1363,4,2,0,3.0,No
RM1455,5,3,0,1.0,No
RM030,2,2,2,,No
RM049,9,6,0,8.0,No
RM080,4,2,0,2.0,No
RM090,9,8,4,7.0,Yes
RM094,10,9,9,5.0,No
RM179,24,13,15,7.0,No
RM210,4,2,0,,No
RM264,7,7,7,7.0,No
RM366,1,0,0,0.0,No
RM413,10,7,0,8.0,No
RM430,3,2,0,1.0,No
RM434,3,2,1,2.0,No
RM466,2,2,1,2.0,No
RM724,8,7,0,7.0,No
RM771,2,2,2,2.0,No
RM779,16,13,1,7.0,No
RM811,12,9,4,9.0,No
RM862,26,15,15,9.0,No
RM870,4,2,0,3.0,No
RM878,6,3,1,4.0,No
RM917,11,4,0,8.0,No
RM944,7,6,5,7.0,No
RM1032,7,7,4,3.0,Yes
RM1081,13,12,5,1.0,No
RM1136,26,0,0,12.0,No
RM1232,10,7,0,9.0,No
RM1236,10,6,0,3.0,No
RM1278,2,1,2,2.0,No
RM1286,2,2,2,2.0,No
RM1299,9,7,3,7.0,Yes
RM1323,9,8,4,7.0,No
RM1328,19,17,2,8.0,No
RM1334,8,7,0,7.0,Yes
RM272,10,7,9,9.0,Yes
RM330,3,2,1,1.0,No
RM348,0,0,0,0.0,No
RM429,5,0,0,4.0,No
RM533,7,7,1,7.0,No
RM545,22,2,11,13.0,No
RM567,5,4,1,3.0,Yes
RM593,26,14,3,0.0,No
RM652,7,6,7,7.0,No
RM666,3,2,1,2.0,No
RM708,19,10,2,7.0,No
RM720,9,0,0,7.0,No
RM1021,6,5,1,2.0,No
RM1025,20,17,5,6.0,No
RM1068,5,4,1,2.0,No
RM1155,5,2,1,0.0,No
RM1195,3,2,1,2.0,No
RM1224,23,5,14,10.0,Yes
RM1235,1,0,0,0.0,No
RM1304,22,11,14,10.0,No
RM1322,2,2,2,0.0,No
RM1371,8,7,1,7.0,No
RM1415,17,14,12,11.0,No
RM1422,13,8,5,12.0,No
RM051,1,0,0,0.0,Yes
RM353,0,0,0,0.0,No
RM445,9,7,6,7.0,No
RM493,3,2,0,2.0,No
RM521,2,2,2,2.0,No
RM679,0,0,0,0.0,No
RM736,2,2,2,2.0,No
RM737,15,11,4,8.0,No
RM805,5,4,2,1.0,No
RM902,1,0,0,0.0,No
RM905,1,0,0,0.0,No
RM970,10,9,0,8.0,No
RM1039,2,2,2,2.0,No
RM1104,8,7,7,7.0,No
RM1115,8,2,7,6.0,No
RM1167,2,2,2,2.0,No
RM1205,9,7,7,7.0,Yes
RM1332,22,10,12,9.0,No
RM1352,22,17,4,7.0,No
RM002,10,7,1,7.0,No
RM130,15,11,5,11.0,No
RM202,7,7,1,7.0,No
RM291,3,2,1,2.0,No
RM317,7,1,0,7.0,No
RM376,5,2,0,0.0,No
RM474,31,9,0,9.0,No
RM608,9,8,7,7.0,Yes
RM640,4,2,0,2.0,No
RM678,26,9,1,7.0,No
RM822,9,8,2,3.0,No
RM900,1,0,0,0.0,No
RM1007,4,3,1,3.0,Yes
RM1045,3,2,1,2.0,No
RM1055,8,7,0,7.0,No
RM1072,3,2,1,2.0,No
RM1148,9,6,1,4.0,No
RM1177,4,2,1,2.0,No
RM1182,15,11,2,12.0,No
RM1193,2,2,2,2.0,No
RM1196,8,7,0,0.0,No
RM1255,5,1,0,4.0,No
RM1378,5,4,4,3.0,No
RM1469,9,6,0,8.0,No
RM1469,9,6,0,8.0,No
RM037,3,2,0,2.0,Yes
RM063,27,3,13,8.0,No
RM107,8,3,0,7.0,No
RM132,2,2,2,1.0,No
RM166,5,4,4,4.0,No
RM184,3,2,0,2.0,No
RM234,7,0,0,6.0,No
RM280,10,4,1,6.0,No
RM368,4,3,1,3.0,No
RM426,27,10,15,7.0,No
RM478,32,5,10,7.0,No
RM524,20,8,3,8.0,No
RM529,4,3,1,3.0,Yes
RM540,2,2,2,2.0,No
RM589,4,3,0,3.0,No
RM654,31,6,14,7.0,No
RM715,5,4,1,3.0,No
RM722,12,11,1,5.0,No
RM743,1,0,0,0.0,No
RM752,18,7,0,13.0,No
RM767,8,1,7,7.0,No
RM802,0,0,0,0.0,Yes
RM868,2,2,2,2.0,No
RM946,3,2,1,2.0,No
RM1087,32,6,13,9.0,No
RM1127,1,0,0,0.0,No
RM1139,30,8,12,13.0,No
RM1178,14,11,1,11.0,No
RM1453,6,3,0,1.0,Yes
RM1462,3,2,2,0.0,Yes
RM1462,3,2,2,0.0,Yes
RM088,4,2,0,3.0,No
RM092,10,7,1,0.0,No
RM111,13,12,12,8.0,No
RM124,20,18,15,15.0,No
RM137,4,2,0,3.0,Yes
RM157,1,0,0,0.0,No
RM190,7,7,1,0.0,No
RM214,10,9,4,7.0,No
RM259,1,0,0,,No
RM300,4,1,1,2.0,No
RM377,7,7,0,7.0,No
RM617,20,6,4,17.0,No
RM780,10,0,2,7.0,Yes
RM919,29,10,11,10.0,No
RM931,7,0,7,7.0,No
RM963,33,9,0,10.0,No
RM972,5,2,0,3.0,No
RM988,4,2,3,2.0,No
RM1276,2,2,2,2.0,No
RM191,33,18,11,9.0,No
RM231,2,2,2,2.0,No
RM238,33,7,15,12.0,No
RM318,8,2,7,7.0,Yes
RM407,5,4,0,,No
RM409,5,2,1,4.0,No
RM469,10,9,6,9.0,No
RM562,34,6,1,16.0,No
RM571,4,3,1,2.0,No
RM588,5,2,1,4.0,No
RM628,9,8,0,0.0,No
RM700,9,8,7,8.0,No
RM750,32,14,6,9.0,Yes
RM807,8,6,4,0.0,No
RM948,8,7,7,7.0,Yes
RM995,5,3,0,2.0,No
RM1001,5,4,0,4.0,No
RM1435,9,8,0,0.0,No
RM019,25,8,3,7.0,No
RM026,14,13,4,,No
RM153,7,7,4,5.0,No
RM185,4,2,1,3.0,No
RM281,5,3,1,3.0,No
RM503,14,7,8,10.0,No
RM535,5,1,1,3.0,No
RM557,2,2,2,2.0,No
RM625,5,2,0,4.0,No
RM647,2,0,2,2.0,No
RM650,12,9,3,8.0,No
RM702,17,13,15,2.0,No
RM761,15,7,6,12.0,No
RM859,7,7,4,7.0,No
RM1044,9,8,8,8.0,No
RM1112,33,7,1,9.0,Yes
RM1204,4,3,1,2.0,No
RM1269,3,2,0,2.0,No
RM1397,2,2,2,2.0,Yes
RM096,4,3,0,3.0,No
RM113,5,3,4,4.0,No
RM220,6,2,0,5.0,No
RM333,4,3,0,3.0,No
RM393,4,2,1,2.0,No
RM432,1,0,0,0.0,No
RM511,9,7,7,1.0,No
RM576,5,3,1,4.0,No
RM729,10,7,0,8.0,No
RM772,9,4,7,0.0,No
RM891,5,4,1,4.0,No
RM895,10,9,0,9.0,No
RM1009,20,7,12,7.0,No
RM1077,14,9,1,12.0,No
RM1185,10,8,4,7.0,No
RM1306,7,1,1,7.0,No
RM1398,4,3,2,3.0,No
RM1407,5,2,1,4.0,No
RM066,5,0,0,2.0,No
RM083,1,0,1,0.0,No
RM188,24,15,2,15.0,No
RM271,36,10,4,13.0,No
RM284,10,7,0,8.0,No
RM380,5,4,1,2.0,No
RM446,10,9,7,7.0,No
RM569,5,2,1,4.0,Yes
RM609,9,7,7,3.0,Yes
RM746,8,7,6,7.0,No
RM775,9,7,6,2.0,No
RM788,3,2,1,2.0,No
RM915,33,9,15,0.0,No
RM956,19,9,9,11.0,No
RM976,19,7,3,8.0,Yes
RM1011,7,7,0,0.0,No
RM1066,3,2,1,2.0,No
RM1117,36,6,2,13.0,No
RM1208,4,2,1,2.0,No
RM1265,1,0,0,0.0,No
RM1337,5,2,0,4.0,No
RM1402,10,9,1,4.0,No
RM086,6,4,0,2.0,No
RM123,5,4,4,3.0,Yes
RM176,2,2,2,2.0,No
RM402,7,7,7,7.0,No
RM553,10,7,1,1.0,No
RM773,5,4,0,3.0,No
RM852,5,2,4,2.0,No
RM957,7,3,7,7.0,No
RM977,19,16,15,9.0,No
RM1024,3,2,1,0.0,No
RM1355,4,2,1,0.0,Yes
RM1372,0,0,0,0.0,No
RM1442,13,12,1,9.0,No
RM1445,10,9,9,8.0,Yes
RM164,5,3,1,4.0,No
RM361,3,2,1,,No
RM425,1,0,0,0.0,No
RM1054,12,9,2,8.0,No
RM099,37,10,1,8.0,No
RM127,40,10,15,6.0,Yes
RM158,1,0,0,0.0,No
RM309,5,3,1,2.0,No
RM596,31,15,13,8.0,Yes
RM661,1,0,0,0.0,Yes
RM675,6,0,0,4.0,No
RM701,1,0,0,0.0,Yes
RM939,2,2,2,2.0,No
RM967,10,9,5,9.0,Yes
RM1010,9,8,1,5.0,No
RM1302,16,9,14,14.0,No
RM1311,2,2,2,2.0,No
RM1375,1,0,0,0.0,No
RM007,1,0,0,,No
RM064,21,16,7,9.0,No
RM071,4,3,1,,No
RM106,3,2,2,2.0,No
RM226,1,0,0,0.0,No
RM233,2,2,2,2.0,No
RM744,5,3,4,3.0,No
RM759,6,4,0,4.0,No
RM898,6,1,0,5.0,No
RM920,9,7,5,4.0,No
RM412,29,8,11,10.0,No
RM428,18,13,13,11.0,No
RM537,2,2,2,2.0,No
RM880,11,7,1,9.0,No
RM1210,1,0,0,0.0,No
